vol_iss_date, pdf_link, cover_loc, iss_loc
"Vol. 11, No. 4, January 19, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%203%201-24%20jan%2012%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%203%201-24%20jan%2012%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%203%201-24%20jan%2012%201974.pdf
"Vol. 11, No. 5, January 26, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%204%201-20%20jan%2019%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%204%201-20%20jan%2019%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%204%201-20%20jan%2019%201974.pdf
"Vol. 11, No. 6, February 2, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%205%201-20%20jan%2026%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%205%201-20%20jan%2026%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%205%201-20%20jan%2026%201974.pdf
"Vol. 11, No. 7, February 9, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%206%201-16%20feb%202%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%206%201-16%20feb%202%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%206%201-16%20feb%202%201974.pdf
"Vol. 11, No. 8, February 16, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%207%201-24%20feb%209%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%207%201-24%20feb%209%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%207%201-24%20feb%209%201974.pdf
"Vol. 11, No. 9, February 23, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%208%201-24%20feb%2016%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%208%201-24%20feb%2016%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%208%201-24%20feb%2016%201974.pdf
"Vol. 11, No. 10, March 2, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%209%201-24%20feb%2023%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%209%201-24%20feb%2023%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%209%201-24%20feb%2023%201974.pdf
"Vol. 11, No. 11, March 9, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2010%201-24%20mar%202%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2010%201-24%20mar%202%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2010%201-24%20mar%202%201974.pdf
"Vol. 11, No. 12, March 16, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2011%201-24%20mar%209%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2011%201-24%20mar%209%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2011%201-24%20mar%209%201974.pdf
"Vol. 11, No. 13, March 23, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2012%201-24%20mar%2016%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2012%201-24%20mar%2016%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2012%201-24%20mar%2016%201974.pdf
"Vol. 11, No. 14, March 30, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2013%201-24%20mar%2023%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2013%201-24%20mar%2023%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2013%201-24%20mar%2023%201974.pdf
"Vol. 11, No. 15, April 6, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2014%201-24%20mar%2030%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2014%201-24%20mar%2030%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2014%201-24%20mar%2030%201974.pdf
"Vol. 11, No. 16, April 13, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2015%201-24%20apr%206%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2015%201-24%20apr%206%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2015%201-24%20apr%206%201974.pdf
"Vol. 11, No. 17, April 20, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2016%201-24%20apr%2013%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2016%201-24%20apr%2013%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2016%201-24%20apr%2013%201974.pdf
"Vol. 11, No. 18, April 27, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2017%201-24%20apr%2020%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2017%201-24%20apr%2020%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2017%201-24%20apr%2020%201974.pdf
"Vol. 11, No. 19, May 4, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2018%201-24%20apr%2027%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2018%201-24%20apr%2027%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2018%201-24%20apr%2027%201974.pdf
"Vol. 11, No. 20, May 11, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2019%201-23%20may%204%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2019%201-23%20may%204%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2019%201-23%20may%204%201974.pdf
"Vol. 11, No. 21, May 18, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2020%201-24%20may%2011%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2020%201-24%20may%2011%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2020%201-24%20may%2011%201974.pdf
"Vol. 11, No. 22, May 25, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2021%201-24%20may%2018%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2021%201-24%20may%2018%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2021%201-24%20may%2018%201974.pdf
"Vol. 11, No. 23, June 8, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2022%201-24%20may%2025%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2022%201-24%20may%2025%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2022%201-24%20may%2025%201974.pdf
"Vol. 11, No. 24, June 15, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2024%201-24%20jun%208%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2024%201-24%20jun%208%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2024%201-24%20jun%208%201974.pdf
"Vol. 11, No. 25, June 29, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2025%201-23%20jun%2015%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2025%201-23%20jun%2015%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2025%201-23%20jun%2015%201974.pdf
"Vol. 11, No. 27, July 6, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2027%201-24%20jun%2029%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2027%201-24%20jun%2029%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2027%201-24%20jun%2029%201974.pdf
"Vol. 11, No. 28, July 13, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2028%201-23%20jul%206%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2028%201-23%20jul%206%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2028%201-23%20jul%206%201974.pdf
